date,canton,daily_tested,ncumul_tested,daily_conf,ncumul_conf,new_hosp,current_icu,current_vent,ncumul_released,daily_released,daily_deceased,ncumul_deceased,current_isolated,current_quarantined_total
2020-02-26,AG,,,,1.0,,,,,,,0.0,,
2020-02-27,AG,,,0.0,1.0,,,,,,0.0,0.0,,
2020-02-28,AG,,,0.0,1.0,,,,,,0.0,0.0,,
2020-02-29,AG,,,2.0,3.0,,,,,,0.0,0.0,,
2020-03-01,AG,,,1.0,4.0,,,,,,0.0,0.0,,
2020-03-02,AG,,,3.0,7.0,,,,,,0.0,0.0,,
2020-03-03,AG,,,0.0,7.0,,,,,,0.0,0.0,,
2020-03-04,AG,,,3.0,10.0,,,,,,0.0,0.0,,
2020-03-05,AG,,,1.0,11.0,,,,,,0.0,0.0,,
2020-03-06,AG,,,1.0,12.0,,,,,,0.0,0.0,,
2020-03-07,AG,,,2.0,14.0,,,,,,0.0,0.0,,
2020-03-08,AG,,,0.0,14.0,,,,,,0.0,0.0,,
2020-03-09,AG,,,1.0,15.0,,,,,,0.0,0.0,,
2020-03-10,AG,,,3.0,18.0,,,,,,0.0,0.0,,
2020-03-11,AG,,,2.0,20.0,,,,,,0.0,0.0,,
2020-03-12,AG,,,7.0,27.0,,,,,,0.0,0.0,,
2020-03-13,AG,,,3.0,30.0,,,,,,0.0,0.0,,
2020-03-14,AG,,,3.0,33.0,,,,,,0.0,0.0,,
2020-03-15,AG,,,10.0,43.0,,,,,,0.0,0.0,,
2020-03-16,AG,,,13.0,56.0,,,,,,0.0,0.0,,
2020-03-17,AG,,,13.0,69.0,,,,,,0.0,0.0,,
2020-03-18,AG,,,27.0,96.0,,,,,,0.0,0.0,,
2020-03-19,AG,,,38.0,134.0,,6.0,3.0,,,1.0,1.0,,
2020-03-20,AG,,,41.0,175.0,,4.0,2.0,,,0.0,1.0,,
2020-03-21,AG,,,48.0,223.0,,,,,,0.0,1.0,,
2020-03-22,AG,,,12.0,235.0,,,,,,0.0,1.0,,
2020-03-23,AG,,,10.0,245.0,,3.0,2.0,,,1.0,2.0,,
2020-03-24,AG,,,38.0,283.0,,2.0,2.0,,,0.0,2.0,,
2020-03-25,AG,,,35.0,318.0,,7.0,5.0,,,0.0,2.0,,
2020-03-26,AG,,,49.0,367.0,,10.0,9.0,,,1.0,3.0,,
2020-03-27,AG,,,40.0,407.0,,12.0,10.0,,,2.0,5.0,,
2020-03-28,AG,,,37.0,444.0,,,,,,3.0,8.0,,
2020-03-29,AG,,,41.0,485.0,,,,,,1.0,9.0,,
2020-03-30,AG,,,21.0,506.0,,12.0,23.0,,,2.0,11.0,,
2020-03-31,AG,,,48.0,554.0,,22.0,25.0,,,0.0,11.0,,
2020-04-01,AG,,,42.0,596.0,,27.0,27.0,,,0.0,11.0,,
2020-04-02,AG,,,35.0,631.0,,27.0,27.0,,,3.0,14.0,,
2020-04-03,AG,,,42.0,673.0,,27.0,26.0,,,1.0,15.0,,
2020-04-04,AG,,,29.0,702.0,,,,,,3.0,18.0,,
2020-04-05,AG,,,34.0,736.0,,,,,,1.0,19.0,,
2020-04-06,AG,,,27.0,763.0,,25.0,24.0,,,0.0,19.0,,
2020-04-07,AG,,,30.0,793.0,,25.0,25.0,,,0.0,19.0,,
2020-04-08,AG,,,39.0,832.0,,23.0,23.0,,,3.0,22.0,,
2020-04-09,AG,,,21.0,853.0,,22.0,21.0,,,0.0,22.0,,
2020-04-10,AG,,,27.0,880.0,,23.0,,,,4.0,26.0,,
2020-04-11,AG,,,21.0,901.0,,23.0,21.0,,,1.0,27.0,,
2020-04-12,AG,,,8.0,909.0,,,,,,0.0,27.0,,
2020-04-13,AG,,,7.0,916.0,,,,,,0.0,27.0,,
2020-04-14,AG,,,14.0,930.0,,22.0,22.0,,,2.0,29.0,,
2020-04-15,AG,,,15.0,945.0,,20.0,20.0,,,0.0,29.0,,
2020-04-16,AG,,,17.0,962.0,,20.0,20.0,,,1.0,30.0,,
2020-04-17,AG,,,26.0,988.0,,20.0,20.0,,,0.0,30.0,,
2020-04-18,AG,,,20.0,1008.0,,,,,,0.0,30.0,,
2020-04-19,AG,,,8.0,1016.0,,,,,,1.0,31.0,,
2020-04-20,AG,,,2.0,1018.0,,16.0,16.0,,,1.0,32.0,,
2020-04-21,AG,,,9.0,1027.0,,18.0,18.0,,,2.0,34.0,,
2020-04-22,AG,,,11.0,1038.0,,15.0,15.0,,,1.0,35.0,,
2020-04-23,AG,,,15.0,1053.0,,14.0,14.0,,,1.0,36.0,,
2020-04-24,AG,,,17.0,1070.0,,14.0,14.0,,,0.0,36.0,,
2020-04-25,AG,,,8.0,1078.0,,,,,,1.0,37.0,,
2020-04-26,AG,,,10.0,1088.0,,,,,,0.0,37.0,,
2020-04-27,AG,,,5.0,1093.0,,15.0,14.0,,,1.0,38.0,,
2020-04-28,AG,,,6.0,1099.0,,12.0,11.0,,,0.0,38.0,,
2020-04-29,AG,,,7.0,1106.0,,10.0,9.0,,,2.0,40.0,,
2020-04-30,AG,,,6.0,1112.0,,9.0,8.0,,,0.0,40.0,,
2020-05-01,AG,,,12.0,1124.0,,9.0,8.0,,,1.0,41.0,,
2020-05-02,AG,,,5.0,1129.0,,,,,,0.0,41.0,,
2020-05-03,AG,,,4.0,1133.0,,,,,,0.0,41.0,,
2020-05-04,AG,,,2.0,1135.0,,5.0,4.0,,,1.0,42.0,,
2020-05-05,AG,,,6.0,1141.0,,5.0,4.0,,,0.0,42.0,,
2020-05-06,AG,,,4.0,1145.0,,5.0,5.0,,,0.0,42.0,,
2020-05-07,AG,,,4.0,1149.0,,4.0,4.0,,,0.0,42.0,,
2020-05-08,AG,,,4.0,1153.0,,3.0,3.0,,,1.0,43.0,,
2020-05-09,AG,,,2.0,1155.0,,,,,,0.0,43.0,,
2020-05-10,AG,,,7.0,1162.0,,,,,,1.0,44.0,,
2020-05-11,AG,,,4.0,1166.0,,2.0,2.0,,,0.0,44.0,,
2020-05-12,AG,,,2.0,1168.0,,2.0,2.0,,,0.0,44.0,,
2020-05-13,AG,,,5.0,1173.0,,1.0,1.0,,,0.0,44.0,,
2020-05-14,AG,,,4.0,1177.0,,1.0,1.0,,,0.0,44.0,,
2020-05-15,AG,,,4.0,1181.0,,1.0,1.0,,500.0,1.0,45.0,,
2020-05-16,AG,,,2.0,1183.0,,,,5.0,505.0,1.0,46.0,,
2020-05-17,AG,,,3.0,1186.0,,,,5.0,510.0,0.0,46.0,,
2020-05-18,AG,,,2.0,1188.0,,1.0,1.0,5.0,515.0,0.0,46.0,,
2020-05-19,AG,,,7.0,1195.0,,4.0,2.0,5.0,520.0,0.0,46.0,,
2020-05-20,AG,,,1.0,1196.0,,2.0,2.0,0.0,520.0,0.0,46.0,,
2020-05-21,AG,,,0.0,1196.0,,,,5.0,525.0,0.0,46.0,,
2020-05-22,AG,,,2.0,1198.0,,2.0,,5.0,530.0,0.0,46.0,,
2020-05-23,AG,,,1.0,1199.0,,,,5.0,535.0,0.0,46.0,,
2020-05-24,AG,,,0.0,1199.0,,,,5.0,540.0,0.0,46.0,,
2020-05-25,AG,,,0.0,1199.0,,1.0,1.0,10.0,550.0,0.0,46.0,37.0,
2020-05-26,AG,,,2.0,1201.0,,1.0,,0.0,550.0,1.0,47.0,,
2020-05-27,AG,,,1.0,1202.0,,1.0,,5.0,555.0,0.0,47.0,,
2020-05-28,AG,,,1.0,1203.0,,1.0,1.0,5.0,560.0,0.0,47.0,34.0,
2020-05-29,AG,,,7.0,1210.0,,1.0,,5.0,565.0,0.0,47.0,,
2020-05-30,AG,,,0.0,1210.0,,,,0.0,565.0,0.0,47.0,,
2020-05-31,AG,,,3.0,1213.0,,,,5.0,570.0,0.0,47.0,,
2020-06-01,AG,,,0.0,1213.0,,,,0.0,570.0,0.0,47.0,,
2020-06-02,AG,,,0.0,1213.0,,1.0,1.0,10.0,580.0,0.0,47.0,50.0,
2020-06-03,AG,,,1.0,1214.0,,1.0,,0.0,580.0,0.0,47.0,,
2020-06-04,AG,,,2.0,1216.0,,2.0,2.0,0.0,580.0,0.0,47.0,22.0,
2020-06-05,AG,,,0.0,1216.0,,1.0,,5.0,585.0,0.0,47.0,,
2020-06-06,AG,,,2.0,1218.0,,,,0.0,585.0,0.0,47.0,,
2020-06-07,AG,,,0.0,1218.0,,,,0.0,585.0,0.0,47.0,,
2020-06-08,AG,,,0.0,1218.0,,1.0,1.0,0.0,585.0,0.0,47.0,19.0,
2020-06-09,AG,,,2.0,1220.0,,1.0,,0.0,585.0,0.0,47.0,,
2020-06-10,AG,,,0.0,1220.0,,1.0,,5.0,590.0,0.0,47.0,,
2020-06-11,AG,,,3.0,1223.0,,1.0,1.0,0.0,590.0,0.0,47.0,14.0,
2020-06-12,AG,,,3.0,1226.0,,1.0,,5.0,595.0,0.0,47.0,13.0,
2020-06-13,AG,,,1.0,1227.0,,,,0.0,595.0,0.0,47.0,,
2020-06-14,AG,,,2.0,1229.0,,,,5.0,600.0,0.0,47.0,,
2020-06-15,AG,,,1.0,1230.0,,1.0,,0.0,600.0,0.0,47.0,16.0,
2020-06-16,AG,,,1.0,1231.0,,1.0,,0.0,600.0,0.0,47.0,17.0,
2020-06-17,AG,,,0.0,1231.0,,1.0,,0.0,600.0,0.0,47.0,17.0,
2020-06-18,AG,,,3.0,1234.0,,1.0,,5.0,605.0,0.0,47.0,20.0,
2020-06-19,AG,,,2.0,1236.0,,1.0,,0.0,605.0,0.0,47.0,18.0,
2020-06-20,AG,,,3.0,1239.0,,,,0.0,605.0,0.0,47.0,,
2020-06-21,AG,,,0.0,1239.0,,,,0.0,605.0,1.0,48.0,,
2020-06-22,AG,,,2.0,1241.0,,0.0,,0.0,605.0,0.0,48.0,21.0,
2020-06-23,AG,,,0.0,1241.0,,0.0,,0.0,605.0,0.0,48.0,20.0,
2020-06-24,AG,,,7.0,1248.0,,0.0,,0.0,605.0,0.0,48.0,18.0,
2020-06-25,AG,,,5.0,1253.0,,0.0,,5.0,610.0,0.0,48.0,21.0,
2020-06-26,AG,,,10.0,1263.0,,1.0,,5.0,615.0,0.0,48.0,25.0,
2020-06-27,AG,,,5.0,1268.0,,,,0.0,615.0,0.0,48.0,,
2020-06-28,AG,,,4.0,1272.0,,,,0.0,615.0,0.0,48.0,,
2020-06-29,AG,,,6.0,1278.0,,1.0,,0.0,615.0,0.0,48.0,39.0,
2020-06-30,AG,,,23.0,1301.0,,1.0,,0.0,615.0,0.0,48.0,55.0,
2020-07-01,AG,,,15.0,1316.0,,1.0,,0.0,615.0,0.0,48.0,65.0,
2020-07-02,AG,,,13.0,1329.0,,1.0,,5.0,620.0,0.0,48.0,74.0,
2020-07-03,AG,,,4.0,1333.0,,0.0,,0.0,620.0,0.0,48.0,73.0,
2020-07-04,AG,,,3.0,1336.0,,,,5.0,625.0,0.0,48.0,,
2020-07-05,AG,,,2.0,1338.0,,,,0.0,625.0,0.0,48.0,,
2020-07-06,AG,,,7.0,1345.0,,1.0,,0.0,625.0,0.0,48.0,83.0,
2020-07-07,AG,,,8.0,1353.0,,1.0,,0.0,625.0,0.0,48.0,76.0,
2020-07-08,AG,,,7.0,1360.0,,1.0,,5.0,630.0,0.0,48.0,70.0,
2020-07-09,AG,,,6.0,1366.0,,1.0,,10.0,640.0,0.0,48.0,57.0,
2020-07-10,AG,,,13.0,1379.0,,1.0,,10.0,650.0,0.0,48.0,55.0,
2020-07-11,AG,,,14.0,1393.0,,,,5.0,655.0,0.0,48.0,,
2020-07-12,AG,,,3.0,1396.0,,,,5.0,660.0,0.0,48.0,,
2020-07-13,AG,,,6.0,1402.0,,1.0,,5.0,665.0,0.0,48.0,63.0,
2020-07-14,AG,,,15.0,1417.0,,1.0,,20.0,685.0,0.0,48.0,73.0,
2020-07-15,AG,,,14.0,1431.0,,1.0,,10.0,695.0,0.0,48.0,64.0,
2020-07-16,AG,,,9.0,1440.0,,1.0,,15.0,710.0,0.0,48.0,71.0,
2020-07-17,AG,,,14.0,1454.0,,1.0,,5.0,715.0,0.0,48.0,68.0,
2020-07-18,AG,,,7.0,1461.0,,,,5.0,720.0,0.0,48.0,,
2020-07-19,AG,,,2.0,1463.0,,,,0.0,720.0,0.0,48.0,,
2020-07-20,AG,,,7.0,1470.0,,1.0,,10.0,730.0,0.0,48.0,54.0,
2020-07-21,AG,,,17.0,1487.0,,1.0,,5.0,735.0,0.0,48.0,93.0,
2020-07-22,AG,,,9.0,1496.0,,1.0,,10.0,745.0,0.0,48.0,89.0,
2020-07-23,AG,,,15.0,1511.0,,1.0,,0.0,745.0,0.0,48.0,92.0,
2020-07-24,AG,,,15.0,1526.0,,1.0,,15.0,760.0,0.0,48.0,97.0,
2020-07-25,AG,,,6.0,1532.0,,,,15.0,775.0,0.0,48.0,,
2020-07-26,AG,,,2.0,1534.0,,,,5.0,780.0,0.0,48.0,,
2020-07-27,AG,,,4.0,1538.0,,1.0,,0.0,780.0,1.0,49.0,88.0,
