date,canton,daily_tested,ncumul_tested,daily_conf,ncumul_conf,seven_day_conf,testRelation,new_hosp,current_icu,current_vent,ncumul_released,daily_released,daily_deceased,ncumul_deceased,seven_day_dec,current_isolated,current_quarantined_total
2020-02-26,AG,,,,1.0,,,,,,,,,0.0,,,
2020-02-27,AG,,,0.0,1.0,,,,,,,,0.0,0.0,,,
2020-02-28,AG,,,0.0,1.0,,,,,,,,0.0,0.0,,,
2020-02-29,AG,,,2.0,3.0,,,,,,,,0.0,0.0,,,
2020-03-01,AG,,,1.0,4.0,,,,,,,,0.0,0.0,,,
2020-03-02,AG,,,3.0,7.0,,,,,,,,0.0,0.0,,,
2020-03-03,AG,,,0.0,7.0,,,,,,,,0.0,0.0,,,
2020-03-04,AG,,,3.0,10.0,1.2857142857142858,,,,,,,0.0,0.0,0.0,,
2020-03-05,AG,,,1.0,11.0,1.4285714285714286,,,,,,,0.0,0.0,0.0,,
2020-03-06,AG,,,1.0,12.0,1.5714285714285714,,,,,,,0.0,0.0,0.0,,
2020-03-07,AG,,,2.0,14.0,1.5714285714285714,,,,,,,0.0,0.0,0.0,,
2020-03-08,AG,,,0.0,14.0,1.4285714285714286,,,,,,,0.0,0.0,0.0,,
2020-03-09,AG,,,1.0,15.0,1.1428571428571428,,,,,,,0.0,0.0,0.0,,
2020-03-10,AG,,,3.0,18.0,1.5714285714285714,,,,,,,0.0,0.0,0.0,,
2020-03-11,AG,,,2.0,20.0,1.4285714285714286,,,,,,,0.0,0.0,0.0,,
2020-03-12,AG,,,7.0,27.0,2.2857142857142856,,,,,,,0.0,0.0,0.0,,
2020-03-13,AG,,,3.0,30.0,2.571428571428572,,,,,,,0.0,0.0,0.0,,
2020-03-14,AG,,,3.0,33.0,2.7142857142857144,,,,,,,0.0,0.0,0.0,,
2020-03-15,AG,,,10.0,43.0,4.142857142857143,,,,,,,0.0,0.0,0.0,,
2020-03-16,AG,,,13.0,56.0,5.857142857142857,,,,,,,0.0,0.0,0.0,,
2020-03-17,AG,,,13.0,69.0,7.285714285714286,,,,,,,0.0,0.0,0.0,,
2020-03-18,AG,,,27.0,96.0,10.857142857142858,,,,,,,0.0,0.0,0.0,,
2020-03-19,AG,,,38.0,134.0,15.285714285714286,,,6.0,3.0,,,1.0,1.0,0.1428571428571428,,
2020-03-20,AG,,,41.0,175.0,20.714285714285715,,,4.0,2.0,,,0.0,1.0,0.1428571428571428,,
2020-03-21,AG,,,48.0,223.0,27.142857142857142,,,,,,,0.0,1.0,0.1428571428571428,,
2020-03-22,AG,,,12.0,235.0,27.428571428571427,,,,,,,0.0,1.0,0.1428571428571428,,
2020-03-23,AG,,,10.0,245.0,27.0,,,3.0,2.0,,,1.0,2.0,0.2857142857142857,,
2020-03-24,AG,,,38.0,283.0,30.571428571428573,,,2.0,2.0,,,0.0,2.0,0.2857142857142857,,
2020-03-25,AG,,,35.0,318.0,31.714285714285715,,,7.0,5.0,,,0.0,2.0,0.2857142857142857,,
2020-03-26,AG,,,49.0,367.0,33.285714285714285,,,10.0,9.0,,,1.0,3.0,0.2857142857142857,,
2020-03-27,AG,,,40.0,407.0,33.142857142857146,,,12.0,10.0,,,2.0,5.0,0.5714285714285714,,
2020-03-28,AG,,,37.0,444.0,31.571428571428573,,,,,,,3.0,8.0,1.0,,
2020-03-29,AG,,,41.0,485.0,35.714285714285715,,,,,,,1.0,9.0,1.1428571428571428,,
2020-03-30,AG,,,21.0,506.0,37.285714285714285,,,12.0,23.0,,,2.0,11.0,1.2857142857142858,,
2020-03-31,AG,,,48.0,554.0,38.71428571428572,,,22.0,25.0,,,0.0,11.0,1.2857142857142858,,
2020-04-01,AG,,,42.0,596.0,39.71428571428572,,,27.0,27.0,,,0.0,11.0,1.2857142857142858,,
2020-04-02,AG,,,35.0,631.0,37.71428571428572,,,27.0,27.0,,,3.0,14.0,1.5714285714285714,,
2020-04-03,AG,,,42.0,673.0,38.0,,,27.0,26.0,,,1.0,15.0,1.4285714285714286,,
2020-04-04,AG,,,29.0,702.0,36.85714285714285,,,,,,,3.0,18.0,1.4285714285714286,,
2020-04-05,AG,,,34.0,736.0,35.857142857142854,,,,,,,1.0,19.0,1.4285714285714286,,
2020-04-06,AG,,,27.0,763.0,36.71428571428572,,,25.0,24.0,,,0.0,19.0,1.1428571428571428,,
2020-04-07,AG,,,30.0,793.0,34.142857142857146,,,25.0,25.0,,,0.0,19.0,1.1428571428571428,,
2020-04-08,AG,,,39.0,832.0,33.714285714285715,,,23.0,23.0,,,3.0,22.0,1.5714285714285714,,
2020-04-09,AG,,,21.0,853.0,31.714285714285715,,,22.0,21.0,,,0.0,22.0,1.1428571428571428,,
2020-04-10,AG,,,27.0,880.0,29.571428571428573,,,23.0,,,,4.0,26.0,1.5714285714285714,,
2020-04-11,AG,,,21.0,901.0,28.428571428571427,,,23.0,21.0,,,1.0,27.0,1.2857142857142858,,
2020-04-12,AG,,,8.0,909.0,24.714285714285715,,,,,,,0.0,27.0,1.1428571428571428,,
2020-04-13,AG,,,7.0,916.0,21.857142857142858,,,,,,,0.0,27.0,1.1428571428571428,,
2020-04-14,AG,,,14.0,930.0,19.571428571428573,,,22.0,22.0,,,2.0,29.0,1.4285714285714286,,
2020-04-15,AG,,,15.0,945.0,16.142857142857142,,,20.0,20.0,,,0.0,29.0,1.0,,
2020-04-16,AG,,,17.0,962.0,15.571428571428571,,,20.0,20.0,,,1.0,30.0,1.1428571428571428,,
2020-04-17,AG,,,26.0,988.0,15.428571428571429,,,20.0,20.0,,,0.0,30.0,0.5714285714285714,,
2020-04-18,AG,,,20.0,1008.0,15.285714285714286,,,,,,,0.0,30.0,0.4285714285714285,,
2020-04-19,AG,,,8.0,1016.0,15.285714285714286,,,,,,,1.0,31.0,0.5714285714285714,,
2020-04-20,AG,,,2.0,1018.0,14.571428571428571,,,16.0,16.0,,,1.0,32.0,0.7142857142857143,,
2020-04-21,AG,,,9.0,1027.0,13.857142857142858,,,18.0,18.0,,,2.0,34.0,0.7142857142857143,,
2020-04-22,AG,,,11.0,1038.0,13.285714285714286,,,15.0,15.0,,,1.0,35.0,0.8571428571428571,,
2020-04-23,AG,,,15.0,1053.0,13.0,,,14.0,14.0,,,1.0,36.0,0.8571428571428571,,
2020-04-24,AG,,,17.0,1070.0,11.714285714285714,,,14.0,14.0,,,0.0,36.0,0.8571428571428571,,
2020-04-25,AG,,,8.0,1078.0,10.0,,,,,,,1.0,37.0,1.0,,
2020-04-26,AG,,,10.0,1088.0,10.285714285714286,,,,,,,0.0,37.0,0.8571428571428571,,
2020-04-27,AG,,,5.0,1093.0,10.714285714285714,,,15.0,14.0,,,1.0,38.0,0.8571428571428571,,
2020-04-28,AG,,,6.0,1099.0,10.285714285714286,,,12.0,11.0,,,0.0,38.0,0.5714285714285714,,
2020-04-29,AG,,,7.0,1106.0,9.714285714285714,,,10.0,9.0,,,2.0,40.0,0.7142857142857143,,
2020-04-30,AG,,,6.0,1112.0,8.428571428571429,,,9.0,8.0,,,0.0,40.0,0.5714285714285714,,
2020-05-01,AG,,,12.0,1124.0,7.714285714285714,,,9.0,8.0,,,1.0,41.0,0.7142857142857143,,
2020-05-02,AG,,,5.0,1129.0,7.285714285714286,,,,,,,0.0,41.0,0.5714285714285714,,
2020-05-03,AG,,,4.0,1133.0,6.428571428571429,,,,,,,0.0,41.0,0.5714285714285714,,
2020-05-04,AG,,,2.0,1135.0,6.0,,,5.0,4.0,,,1.0,42.0,0.5714285714285714,,
2020-05-05,AG,,,6.0,1141.0,6.0,,,5.0,4.0,,,0.0,42.0,0.5714285714285714,,
2020-05-06,AG,,,4.0,1145.0,5.571428571428571,,,5.0,5.0,,,0.0,42.0,0.2857142857142857,,
2020-05-07,AG,,,4.0,1149.0,5.285714285714286,,,4.0,4.0,,,0.0,42.0,0.2857142857142857,,
2020-05-08,AG,,,4.0,1153.0,4.142857142857143,,,3.0,3.0,,,1.0,43.0,0.2857142857142857,,
2020-05-09,AG,,,2.0,1155.0,3.7142857142857135,,,,,,,0.0,43.0,0.2857142857142857,,
2020-05-10,AG,,,7.0,1162.0,4.142857142857143,,,,,,,1.0,44.0,0.4285714285714285,,
2020-05-11,AG,,,4.0,1166.0,4.428571428571429,,,2.0,2.0,,,0.0,44.0,0.2857142857142857,,
2020-05-12,AG,,,2.0,1168.0,3.857142857142857,,,2.0,2.0,,,0.0,44.0,0.2857142857142857,,
2020-05-13,AG,,,5.0,1173.0,4.0,,,1.0,1.0,,,0.0,44.0,0.2857142857142857,,
2020-05-14,AG,,,4.0,1177.0,4.0,,,1.0,1.0,,,0.0,44.0,0.2857142857142857,,
2020-05-15,AG,,,4.0,1181.0,4.0,,,1.0,1.0,,360.0,1.0,45.0,0.2857142857142857,,
2020-05-16,AG,,,2.0,1183.0,4.0,,,,,5.0,365.0,1.0,46.0,0.4285714285714285,,
2020-05-17,AG,,,3.0,1186.0,3.4285714285714284,,,,,5.0,370.0,0.0,46.0,0.2857142857142857,,
2020-05-18,AG,,,2.0,1188.0,3.142857142857143,,,1.0,1.0,5.0,375.0,0.0,46.0,0.2857142857142857,,
2020-05-19,AG,,,7.0,1195.0,3.857142857142857,,,4.0,2.0,5.0,380.0,0.0,46.0,0.2857142857142857,,
2020-05-20,AG,,,1.0,1196.0,3.2857142857142856,,,2.0,2.0,0.0,380.0,0.0,46.0,0.2857142857142857,,
2020-05-21,AG,,,0.0,1196.0,2.7142857142857144,,,,,5.0,385.0,0.0,46.0,0.2857142857142857,,
2020-05-22,AG,,,2.0,1198.0,2.4285714285714284,,,2.0,,5.0,390.0,0.0,46.0,0.1428571428571428,,
2020-05-23,AG,,,1.0,1199.0,2.2857142857142856,,,,,5.0,395.0,0.0,46.0,0.0,,
2020-05-24,AG,,,0.0,1199.0,1.8571428571428568,,,,,5.0,400.0,0.0,46.0,0.0,,
2020-05-25,AG,,,0.0,1199.0,1.5714285714285714,,,1.0,1.0,10.0,410.0,0.0,46.0,0.0,37.0,
2020-05-26,AG,,,2.0,1201.0,0.8571428571428571,,,1.0,,0.0,410.0,1.0,47.0,0.1428571428571428,,
2020-05-27,AG,,,1.0,1202.0,0.8571428571428571,,,1.0,,5.0,415.0,0.0,47.0,0.1428571428571428,,
2020-05-28,AG,,,1.0,1203.0,1.0,,,1.0,1.0,5.0,420.0,0.0,47.0,0.1428571428571428,34.0,
2020-05-29,AG,,,7.0,1210.0,1.7142857142857142,,,1.0,,5.0,425.0,0.0,47.0,0.1428571428571428,,
2020-05-30,AG,,,0.0,1210.0,1.5714285714285714,,,,,0.0,425.0,0.0,47.0,0.1428571428571428,,
2020-05-31,AG,,,3.0,1213.0,2.0,,,,,5.0,430.0,0.0,47.0,0.1428571428571428,,
2020-06-01,AG,,,0.0,1213.0,2.0,,,,,0.0,430.0,0.0,47.0,0.1428571428571428,,
2020-06-02,AG,,,0.0,1213.0,1.7142857142857142,,,1.0,1.0,10.0,440.0,0.0,47.0,0.0,50.0,
2020-06-03,AG,,,1.0,1214.0,1.7142857142857142,,,1.0,,0.0,440.0,0.0,47.0,0.0,,
2020-06-04,AG,,,2.0,1216.0,1.8571428571428568,,,2.0,2.0,0.0,440.0,0.0,47.0,0.0,22.0,
2020-06-05,AG,,,0.0,1216.0,0.8571428571428571,,,1.0,,5.0,445.0,0.0,47.0,0.0,,
2020-06-06,AG,,,2.0,1218.0,1.1428571428571428,,,,,0.0,445.0,0.0,47.0,0.0,,
2020-06-07,AG,,,0.0,1218.0,0.7142857142857143,,,,,0.0,445.0,0.0,47.0,0.0,,
2020-06-08,AG,,,0.0,1218.0,0.7142857142857143,,,1.0,1.0,0.0,445.0,0.0,47.0,0.0,19.0,
2020-06-09,AG,,,2.0,1220.0,1.0,,,1.0,,0.0,445.0,0.0,47.0,0.0,,
2020-06-10,AG,,,0.0,1220.0,0.8571428571428571,,,1.0,,5.0,450.0,0.0,47.0,0.0,,
2020-06-11,AG,,,3.0,1223.0,1.0,,,1.0,1.0,0.0,450.0,0.0,47.0,0.0,14.0,
2020-06-12,AG,,,3.0,1226.0,1.4285714285714286,,,1.0,,5.0,455.0,0.0,47.0,0.0,13.0,
2020-06-13,AG,,,1.0,1227.0,1.2857142857142858,,,,,0.0,455.0,0.0,47.0,0.0,,
2020-06-14,AG,,,2.0,1229.0,1.5714285714285714,,,,,5.0,460.0,0.0,47.0,0.0,,
2020-06-15,AG,,,1.0,1230.0,1.7142857142857142,,,1.0,,0.0,460.0,0.0,47.0,0.0,16.0,
2020-06-16,AG,,,1.0,1231.0,1.5714285714285714,,,1.0,,0.0,460.0,0.0,47.0,0.0,17.0,
2020-06-17,AG,,,0.0,1231.0,1.5714285714285714,,,1.0,,0.0,460.0,0.0,47.0,0.0,17.0,
2020-06-18,AG,,,3.0,1234.0,1.5714285714285714,,,1.0,,5.0,465.0,0.0,47.0,0.0,20.0,
2020-06-19,AG,,,2.0,1236.0,1.4285714285714286,,,1.0,,0.0,465.0,0.0,47.0,0.0,18.0,
